Year,Population,Population_male,Population_female,ISO3,Population id,Cancer label,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total,Region Name,Year_Units,RT_m,GDP_per_capita,TAC,GammaC,MRI,Mammography,PET
2018,6341732.0,3142590.0,3199142.0,KGZ,417,Breast,Female,Mortality,10.48468685,9.725825832,1.151595153,310,Europe,2013,0.54,1283.5203037417,0.9,0.72,0.9,,
2018,6341732.0,3142590.0,3199142.0,KGZ,417,Prostate,Male,Mortality,3.541808262,2.040995304,0.3629441653,64,Europe,2013,0.54,1283.5203037417,0.9,0.72,0.9,,
2018,6341732.0,3142590.0,3199142.0,KGZ,417,Cervix,Female,Mortality,8.7657881,8.063023351,0.9823908549,257,Europe,2013,0.54,1283.5203037417,0.9,0.72,0.9,,
2015,30749346.0,15481660.0,15267686.0,UZB,860,Lung,Male,Mortality,9.27740056,6.275656924,1.258041957,985,Europe,2010,0.66,2803.19018021751,,,,,
2015,30749346.0,15481660.0,15267686.0,UZB,860,Lung,Female,Mortality,2.686804715,2.172608837,0.3474832343,339,Europe,2010,0.66,2803.19018021751,,,,,
2015,30749346.0,15481660.0,15267686.0,UZB,860,Breast,Female,Mortality,9.442962358,8.286676185,1.089612025,1293,Europe,2010,0.66,2803.19018021751,,,,,
2015,30749346.0,15481660.0,15267686.0,UZB,860,Prostate,Male,Mortality,1.732515491,1.025767274,0.2283103204,161,Europe,2010,0.66,2803.19018021751,,,,,
2015,30749346.0,15481660.0,15267686.0,UZB,860,Cervix,Female,Mortality,5.426418778,4.870745476,0.6130907905,760,Europe,2010,0.66,2803.19018021751,,,,,
2018,32373490.0,16311735.0,16061755.0,UZB,860,Lung,Male,Mortality,8.387797096,5.962221264,1.152579661,987,Europe,2013,0.62,1813.08530813664,,,,,
2018,32373490.0,16311735.0,16061755.0,UZB,860,Lung,Female,Mortality,2.893777052,2.511909316,0.3612931279,412,Europe,2013,0.62,1813.08530813664,,,,,
2018,32373490.0,16311735.0,16061755.0,UZB,860,Breast,Female,Mortality,9.996565463,9.303819456,1.133483108,1526,Europe,2013,0.62,1813.08530813664,,,,,
2018,32373490.0,16311735.0,16061755.0,UZB,860,Prostate,Male,Mortality,2.961772262,1.908877325,0.3434194606,316,Europe,2013,0.62,1813.08530813664,,,,,
2018,32373490.0,16311735.0,16061755.0,UZB,860,Cervix,Female,Mortality,6.120381244,5.670086562,0.7039706641,930,Europe,2013,0.62,1813.08530813664,,,,,
2015,1396134174.0,714291689.0,681842484.0,CHN,156,Lung,Male,Incidence,47.59994877,111.3064576,5.531967192,4973,Western Pacific,2010,1.15,8175.33285077393,,,,,
2015,1396134174.0,714291689.0,681842484.0,CHN,156,Lung,Female,Incidence,32.54874953,73.20136657,3.74185463,3368,Western Pacific,2010,1.15,8175.33285077393,,,,,
2015,1396134174.0,714291689.0,681842484.0,CHN,156,Breast,Female,Incidence,43.74112589,81.48216249,4.740883725,3749,Western Pacific,2010,1.15,8175.33285077393,,,,,
2015,1396134174.0,714291689.0,681842484.0,CHN,156,Prostate,Male,Incidence,14.5591591,37.24390618,1.746874089,1664,Western Pacific,2010,1.15,8175.33285077393,,,,,
2015,1396134174.0,714291689.0,681842484.0,CHN,156,Cervix,Female,Incidence,7.344943443,12.25818609,0.7598848344,564,Western Pacific,2010,1.15,8175.33285077393,,,,,
2015,127275872.0,62204439.0,65071433.0,JPN,392,Lung,Male,Incidence,46.45508995,135.1065802,5.47385134,7289,Western Pacific,2010,7.19,34960.6393843385,101.7,,46.16,225.9,4.37
2015,127275872.0,62204439.0,65071433.0,JPN,392,Lung,Male,Mortality,26.25020374,87.18223084,2.820704447,53201,Western Pacific,2010,7.19,34960.6393843385,101.7,,46.16,225.9,4.37
2015,127275872.0,62204439.0,65071433.0,JPN,392,Lung,Female,Incidence,18.42667518,59.68858131,2.224781168,3450,Western Pacific,2010,7.19,34960.6393843385,101.7,,46.16,225.9,4.37
2015,127275872.0,62204439.0,65071433.0,JPN,392,Lung,Female,Mortality,7.55563035,32.92400962,0.8080686722,21169,Western Pacific,2010,7.19,34960.6393843385,101.7,,46.16,225.9,4.37
2015,127275872.0,62204439.0,65071433.0,JPN,392,Breast,Female,Incidence,70.97513052,128.7024221,7.498200751,7439,Western Pacific,2010,7.19,34960.6393843385,101.7,,46.16,225.9,4.37
2015,127275872.0,62204439.0,65071433.0,JPN,392,Breast,Female,Mortality,9.027612253,21.12555258,1.031357309,13583,Western Pacific,2010,7.19,34960.6393843385,101.7,,46.16,225.9,4.37
2015,127275872.0,62204439.0,65071433.0,JPN,392,Prostate,Male,Incidence,40.78095109,124.3744208,5.175540648,6710,Western Pacific,2010,7.19,34960.6393843385,101.7,,46.16,225.9,4.37
2015,127275872.0,62204439.0,65071433.0,JPN,392,Prostate,Male,Mortality,4.41595995,18.55865048,0.3040929866,11325,Western Pacific,2010,7.19,34960.6393843385,101.7,,46.16,225.9,4.37
2015,127275872.0,62204439.0,65071433.0,JPN,392,Cervix,Female,Incidence,11.8475248,17.62975779,1.156624132,1019,Western Pacific,2010,7.19,34960.6393843385,101.7,,46.16,225.9,4.37
2015,127275872.0,62204439.0,65071433.0,JPN,392,Cervix,Female,Mortality,2.116160879,4.373485523,0.2237117214,2812,Western Pacific,2010,7.19,34960.6393843385,101.7,,46.16,225.9,4.37
2018,126913432.0,62016416.0,64897017.0,JPN,392,Lung,Male,Mortality,23.68225795,86.67441601,2.541025047,52399,Western Pacific,2013,7.17,39751.1330982711,101.2,,45.94,,4.35
2018,126913432.0,62016416.0,64897017.0,JPN,392,Lung,Female,Mortality,7.137929815,34.38783128,0.7590408333,21927,Western Pacific,2013,7.17,39751.1330982711,101.2,,45.94,,4.35
2018,126913432.0,62016416.0,64897017.0,JPN,392,Breast,Female,Mortality,9.179696483,22.9801109,1.054591443,14653,Western Pacific,2013,7.17,39751.1330982711,101.2,,45.94,,4.35
2018,126913432.0,62016416.0,64897017.0,JPN,392,Prostate,Male,Mortality,4.289749108,20.26135846,0.3021930572,12249,Western Pacific,2013,7.17,39751.1330982711,101.2,,45.94,,4.35
2018,126913432.0,62016416.0,64897017.0,JPN,392,Cervix,Female,Mortality,2.061201945,4.50255227,0.2155718956,2871,Western Pacific,2013,7.17,39751.1330982711,101.2,,45.94,,4.35
2015,50983912.0,25576742.0,25407170.0,KOR,410,Lung,Male,Incidence,42.94773568,67.92346818,5.017139244,17292,Western Pacific,2010,3.07,30171.7906545222,36.17,8.26,20.44,444.6,3.22
