Year,Population,Population_female,ISO3,ASR,Region,RT,GDP,TAC,GammaC,MRI,PET,log_GDP
2015,5420278.0,2777523.0,SVK,4.454476951,Europe,4.76,16442.0760860018,,,,,9.70759894324071
2018,5443232.0,2785764.0,SVK,4.744048856,Europe,4.77,19573.3717031314,,,,,9.881925334928212
2022,5473197.0,2800528.0,SVK,4.064925342,Europe,6.78,21317.7943982363,18.32,5.49,9.52,1.47,9.967297420687904
2022,5473197.0,2800528.0,SVK,4.064925342,Europe,6.78,21317.7943982363,,,,,9.967297420687904
2015,5683701.0,2859176.0,DNK,1.668825506,Europe,9.73,53094.0133607574,24.14,14.95,13.87,5.95,10.879819458138824
2018,5793824.0,2911075.0,DNK,1.376793558,Europe,9.61,61324.7665045565,23.85,14.77,13.7,5.87,11.023939061611191
2022,5902904.0,2967061.0,DNK,1.361568968,Europe,12.26,67781.0940939514,40.75,14.68,,8.29,11.124038586871299
2022,5902904.0,2967061.0,DNK,1.361568968,Europe,12.26,67781.0940939514,,,,,11.124038586871299
2015,1314576.0,699042.0,EST,4.235139652,Europe,2.24,17722.1557669523,14.91,2.24,8.2,0.75,9.782570874036644
2018,1321965.0,698552.0,EST,3.923704328,Europe,2.33,23618.1361254581,15.54,2.33,8.55,0.78,10.069770175776512
2022,1350091.0,709362.0,EST,3.474960995,Europe,6.78,28340.3826549406,18.84,2.26,13.56,2.26,10.252043015444999
2022,1350091.0,709362.0,EST,3.474960995,Europe,6.78,28340.3826549406,,,,,10.252043015444999
2015,5479717.0,2782875.0,FIN,1.143192144,Europe,7.46,42560.3456767103,,,16.03,,10.658678246085698
2018,5515736.0,2794415.0,FIN,1.030466169,Europe,7.37,49654.2497035329,20.09,8.29,15.85,1.47,10.812839259033648
2015,4702487.0,2376064.0,IRL,2.580375796,Europe,4.03,64250.1385181257,4.7,3.13,2.01,0.45,11.070539158679278
2018,4872556.0,2459577.0,IRL,2.567505519,Europe,3.89,80804.1123164826,4.54,3.03,1.95,0.43,11.299783138220052
2022,5110016.0,2579943.0,IRL,2.262298465,Europe,11.14,105190.685952731,21.26,4.66,15.8,1.82,11.563530038795156
2022,5110016.0,2579943.0,IRL,2.262298465,Europe,11.14,105190.685952731,,,,,11.563530038795156
2015,1977867.0,1070061.0,LVA,6.063602665,Europe,4.88,13321.9753140616,,,,0.0,9.49717022995096
2018,1927588.0,1040200.0,LVA,6.409284584,Europe,5.37,17252.1710428626,,,,0.0,9.75569327209736
2022,1881063.0,1010484.0,LVA,5.520149046,Europe,6.36,20221.103686109,39.24,3.71,13.79,1.06,9.914482074967557
2022,1881063.0,1010484.0,LVA,5.520149046,Europe,6.36,20221.103686109,,,,,9.914482074967557
2015,2905764.0,1567580.0,LTU,6.966660101,Europe,3.91,14269.8039878287,18.05,2.11,5.72,0.0,9.565900974414994
2018,2802478.0,1505826.0,LTU,6.853162994,Europe,3.65,19247.2315367967,20.22,2.98,8.95,0.33,9.865122513103078
2015,5189771.0,2577878.0,NOR,1.742103757,Europe,7.78,74809.9658049898,,,,0.61,11.222706387774911
2015,9799481.0,4897775.0,SWE,1.767416278,Europe,8.32,51188.1652120493,,,,,10.843263636106574
2022,10487338.0,5207560.0,SWE,1.333983896,Europe,12.87,54836.8907235124,,,,,10.91211843483171
2015,4183729.000000001,2168973.0,HRV,2.448095692,Europe,2.95,12283.7840620053,14.53,5.9,7.04,0.45,9.416035302604943
2018,4024868.0,2086352.0,HRV,3.218379426,Europe,3.03,15460.3669595491,14.92,6.06,7.23,0.47,9.646035057923696
2015,10820903.0,5593712.0,GRC,1.208801231,Europe,4.23,17980.7298238137,,,,,9.797055898070218
2018,10730844.0,5543703.0,GRC,1.264972267,Europe,4.31,19873.4015238771,33.16,14.38,22.02,0.45,9.897137509816558
2015,60575316.0,31172302.0,ITA,0.7108459555,Europe,6.54,30639.8829751432,,,,,10.330057804498121
2018,60277499.0,30898339.0,ITA,0.8196672045,Europe,6.41,34904.1081923834,,,,,10.460359814511666
2015,444981.0,221546.0,MLT,1.369617868,Europe,4.8,25529.6813337717,9.6,7.2,9.6,2.4,10.147597028127535
2018,484558.0,238359.0,MLT,1.558585394,Europe,4.66,33382.2677499267,9.32,6.99,9.32,2.33,10.415780132293648
2015,10370267.0,5447132.0,PRT,1.719619373,Europe,4.03,19215.7813014347,27.26,5.06,9.84,0.66,9.863487163188946
2018,10325353.0,5428652.0,PRT,1.93062698,Europe,4.05,23541.1401075289,27.43,5.09,9.9,0.66,10.066504812416667
2022,10417073.0,5454599.0,PRT,1.393177927,Europe,7.16,24620.5197587181,,,,,10.11133551075517
2015,7177253.0,3759635.0,SRB,6.093985747,Europe,1.42,5820.3215576888,13.19,0.3,5.99,0.2,8.669110789661225
2018,7020019.0,3676325.0,SRB,6.165006276,Europe,1.47,7559.86165747394,13.67,0.32,6.2,0.21,8.930608169730212
2022,6791213.0,3560218.0,SRB,5.865268936,Europe,4.12,10024.8191112596,,,,,9.212819208247351
2015,2059947.0,1038582.0,SVN,2.215238051,Europe,3.45,20697.2748530619,12.32,6.9,4.43,0.99,9.937757320976354
2018,2069481.0,1038471.0,SVN,1.465790941,Europe,5.79,25888.0481065655,13.51,8.2,8.69,0.97,10.161536678113812
2015,46683686.0,23704368.0,ESP,1.420607552,Europe,4.23,25982.4416197775,14.11,4.84,8.29,,10.165176266554539
2018,47092821.0,23956747.0,ESP,1.29839678,Europe,4.16,30602.4212881113,13.85,4.75,8.14,,10.328834411872553
2022,47828382.0,24342743.0,ESP,1.298616746,Europe,9.28,30319.4987196616,19.14,6.61,17.22,1.8,10.319546306626945
2022,47828382.0,24342743.0,ESP,1.298616746,Europe,9.28,30319.4987196616,,,,,10.319546306626945
2015,8644039.0,4406991.0,AUT,1.571439951,Europe,5.48,43915.228020857,28.83,,16.8,2.74,10.690016418660566
2018,8841650.0,4493255.0,AUT,1.518163404,Europe,5.41,51194.0749841299,28.49,,16.6,2.71,10.843379081364967
2022,9064677.0,4603980.0,AUT,1.298201276,Europe,8.44,52336.7725223758,28.31,10.33,23.1,2.66,10.86545451049114
2022,9064677.0,4603980.0,AUT,1.298201276,Europe,8.44,52336.7725223758,,,,,10.86545451049114
2015,11275335.0,5728079.0,BEL,1.475726883,Europe,8.96,40893.804537772,,,,,10.618733852262814
2018,11428605.0,5798251.0,BEL,1.559283845,Europe,8.28,47487.2100392561,,,,,10.76821569143367
2015,64916336.0,33500238.0,FRA,1.229287245,Europe,6.78,36702.4323733379,,,10.37,,10.510598309049092
2018,65519543.0,33798505.0,FRA,1.309105886,Europe,7.51,41418.1766484844,,,10.13,,10.631475112939684
2022,66277409.0,34160427.0,FRA,1.316348226,Europe,9.18,40988.6396406579,18.72,7.08,15.84,2.56,10.62105022535698
