Year,TAC,GammaC,MRI,Mammography,PET,ISO3
2019,0.0,0.0,0.0,41.84,0.0,ROU
2022,0.0,0.0,0.0,0.0,0.0,ROU
2015,0.0,0.0,0.0,0.0,0.0,RUS
2018,0.0,0.0,0.0,0.0,0.0,RUS
2022,13.45,0.0,4.87,0.0,0.0,RUS
2022,0.0,0.0,0.0,0.0,0.0,RUS
2022,0.0,0.0,0.0,0.0,0.0,RWA
2015,4.01,0.4,1.02,45.36,0.0,SAU
2018,3.82,0.38,0.97,0.0,0.0,SAU
2019,0.0,0.0,0.0,40.62,0.0,SAU
2022,0.0,0.0,0.0,0.0,0.0,SAU
2015,0.99,0.11,0.28,9.74,0.0,SDN
2018,1.13,0.13,0.32,0.0,0.0,SDN
2019,0.0,0.0,0.0,12.18,0.0,SDN
2022,0.0,0.0,0.0,0.0,0.0,SDN
2015,0.4,0.08,0.16,6.43,0.0,SEN
2018,0.35,0.071,0.14,0.0,0.0,SEN
2019,0.0,0.0,0.0,5.19,0.0,SEN
2026,1.19,0.12,0.24,22.36,0.0,SEN
2015,9.44,0.0,8.26,143.9,0.0,SGP
2018,8.87,0.0,7.76,0.0,0.0,SGP
2019,0.0,0.0,0.0,127.6,0.0,SGP
2022,0.0,0.0,0.0,0.0,0.0,SGP
2015,0.34,0.17,0.0,0.0,0.0,SLE
2018,0.33,0.16,0.0,0.0,0.0,SLE
2015,3.71,0.81,0.65,49.94,0.0,SLV
2018,4.73,0.95,1.1,0.0,0.0,SLV
2019,0.0,0.0,0.0,69.99,0.0,SLV
2022,0.0,0.0,0.0,0.0,0.0,SLV
2015,31.71,0.0,63.42,249.1,0.0,SMR
2018,31.8,0.0,63.6,0.0,0.0,SMR
2019,0.0,0.0,0.0,229.1,0.0,SMR
2015,13.19,0.3,5.99,90.14,0.2,SRB
2018,13.67,0.32,6.2,0.0,0.21,SRB
2019,0.0,0.0,0.0,84.56,0.0,SRB
2022,0.0,0.0,0.0,0.0,0.0,SRB
2015,7.62,0.0,3.81,105.8,0.0,SUR
2018,7.42,0.0,3.71,0.0,0.0,SUR
2019,0.0,0.0,0.0,93.6,0.0,SUR
2022,0.0,0.0,0.0,0.0,0.0,SUR
2015,0.0,0.0,0.0,0.0,0.0,SVK
2018,0.0,0.0,0.0,0.0,0.0,SVK
2022,18.32,5.49,9.52,135.4,1.47,SVK
2022,0.0,0.0,0.0,0.0,0.0,SVK
2015,12.32,6.9,4.43,133.6,0.99,SVN
2018,13.51,8.2,8.69,0.0,0.97,SVN
2019,0.0,0.0,0.0,136.2,0.0,SVN
2022,18.28,8.18,12.51,106.0,1.44,SVN
2022,0.0,0.0,0.0,0.0,0.0,SVN
2015,0.0,0.0,0.0,0.0,0.0,SWE
2019,0.0,0.0,0.0,0.0,0.0,SWE
2022,0.0,0.0,0.0,0.0,0.0,SWE
2015,2.53,0.0,0.0,35.91,0.0,SWZ
2018,2.4,0.0,0.0,0.0,0.0,SWZ
2019,0.0,0.0,0.0,33.62,0.0,SWZ
2015,11.56,0.0,11.56,96.06,0.0,SYC
2018,10.77,0.0,10.77,0.0,0.0,SYC
2019,0.0,0.0,0.0,127.7,0.0,SYC
2015,0.0,0.0,0.0,0.0,0.0,SYR
2018,0.0,0.0,0.0,0.0,0.0,SYR
2022,0.0,0.0,0.0,0.0,0.0,SYR
2015,0.09,0.0,0.0,4.32,0.0,TCD
2018,0.078,0.0,0.0,0.0,0.0,TCD
2019,0.0,0.0,0.0,4.67,0.0,TCD
2026,0.18,0.0,0.0,3.57,0.0,TCD
2015,0.83,0.0,0.17,11.23,0.0,TGO
2018,0.73,0.0,0.15,0.0,0.0,TGO
2019,0.0,0.0,0.0,10.39,0.0,TGO
2015,5.77,0.43,0.0,30.82,0.07,THA
2018,5.95,0.45,0.0,0.0,0.075,THA
2019,0.0,0.0,0.0,27.87,0.0,THA
2022,0.0,0.0,0.0,0.0,0.0,THA
2015,1.31,0.0,0.44,16.71,0.0,TJK
2018,1.1,0.0,0.37,0.0,0.0,TJK
2019,0.0,0.0,0.0,12.59,0.0,TJK
2022,0.0,0.0,0.0,0.0,0.0,TJK
2022,0.0,0.0,0.0,0.0,0.0,TKM
2015,0.0,0.0,0.0,0.0,0.0,TON
2018,0.0,0.0,0.0,0.0,0.0,TON
2019,0.0,0.0,0.0,0.0,0.0,TON
2015,2.98,2.24,2.98,40.05,0.0,TTO
2018,2.98,2.24,2.98,0.0,0.0,TTO
2019,0.0,0.0,0.0,35.22,0.0,TTO
2022,0.0,0.0,0.0,0.0,0.0,TTO
2026,8.58,2.86,5.0,37.37,0.71,TTO
2015,9.35,1.24,2.1,27.11,0.0,TUN
2018,8.91,1.18,2.0,0.0,0.0,TUN
2019,0.0,0.0,0.0,22.58,0.0,TUN
2022,0.0,0.0,0.0,0.0,0.0,TUN
2015,14.95,3.93,6.32,272.0,0.92,TUR
2018,14.52,3.82,6.14,0.0,0.89,TUR
2019,0.0,0.0,0.0,230.4,0.0,TUR
2022,14.36,3.55,10.85,120.7,1.55,TUR
2022,0.0,0.0,0.0,0.0,0.0,TUR
2015,0.13,0.09,0.04,6.53,0.02,TZA
2018,0.12,0.081,0.041,0.0,0.02,TZA
2019,0.0,0.0,0.0,6.15,0.0,TZA
2022,0.0,0.0,0.0,0.0,0.0,TZA
2026,0.17,0.067,0.067,3.38,0.017,TZA
2015,0.33,0.06,0.03,3.59,0.0,UGA
2018,0.45,0.053,0.08,0.0,0.0,UGA
2019,0.0,0.0,0.0,4.41,0.0,UGA
2026,0.44,0.066,0.087,3.3,0.0,UGA
2015,0.0,0.0,0.0,0.0,0.0,UKR
2018,0.0,0.0,0.0,0.0,0.0,UKR
2022,0.0,0.0,0.0,0.0,0.0,UKR
2015,13.06,2.97,2.97,177.8,0.3,URY
2018,12.91,2.94,2.94,0.0,0.29,URY
2019,0.0,0.0,0.0,172.4,0.0,URY
2022,0.0,0.0,0.0,0.0,0.0,URY
2015,0.0,0.0,0.0,0.0,0.0,USA
2018,0.0,0.0,0.0,0.0,0.0,USA
2022,44.56,48.37,40.11,521.6,5.41,USA
2022,0.0,0.0,0.0,0.0,0.0,USA
2015,0.0,0.0,0.0,0.0,0.0,UZB
2018,0.0,0.0,0.0,0.0,0.0,UZB
2022,0.0,0.0,0.0,0.0,0.0,UZB
2015,0.0,0.0,0.0,265.5,0.0,VCT
2018,0.0,0.0,0.0,0.0,0.0,VCT
2019,0.0,0.0,0.0,229.9,0.0,VCT
2015,0.0,0.0,0.0,0.0,0.0,VEN
2018,0.0,0.0,0.0,0.0,0.0,VEN
2022,0.0,0.0,0.0,0.0,0.0,VEN
2015,0.0,0.0,0.0,0.0,0.0,VNM
2018,0.0,0.0,0.0,0.0,0.0,VNM
2022,0.0,0.0,0.0,0.0,0.0,VNM
2015,0.0,0.0,0.0,0.0,0.0,VUT
2018,0.0,0.0,0.0,0.0,0.0,VUT
2019,0.0,0.0,0.0,0.0,0.0,VUT
2015,5.46,0.0,0.0,98.99,0.0,WSM
2018,5.25,0.0,0.0,0.0,0.0,WSM
2019,0.0,0.0,0.0,91.16,0.0,WSM
2015,2.08,0.04,0.67,33.89,0.0,YEM
2018,3.61,0.12,1.15,0.0,0.0,YEM
2019,0.0,0.0,0.0,17.62,0.0,YEM
2022,0.0,0.0,0.0,0.0,0.0,YEM
2015,1.02,0.56,0.24,9.11,0.06,ZAF
2018,0.97,0.53,0.23,0.0,0.057,ZAF
2019,0.0,0.0,0.0,7.78,0.0,ZAF
2022,0.0,0.0,0.0,0.0,0.0,ZAF
2026,0.86,0.47,0.2,7.34,0.051,ZAF
2015,0.23,0.08,0.08,4.09,0.0,ZMB
2018,0.21,0.069,0.069,0.0,0.0,ZMB
2019,0.0,0.0,0.0,4.56,0.0,ZMB
2022,0.0,0.0,0.0,0.0,0.0,ZMB
2015,0.48,0.32,0.32,6.71,0.0,ZWE
2018,0.42,0.28,0.28,0.0,0.0,ZWE
2019,0.0,0.0,0.0,6.89,0.0,ZWE
2022,0.0,0.0,0.0,0.0,0.0,ZWE
