Cancer label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total,Country_harmonized,Indicator,Region Name,Year_Units,RT_m,Population,Population_male,Population_female,GDP_per_capita
Lung,Male,Mortality,2015,50.96974718,104.2806435,6.237568161,2101,Croatia,Total density per million population: Radiotherapy units,Europe,2010,2.95,4183729.0000000005,2014755.0,2168973.0,12283.7840620053
Lung,Male,Mortality,2018,49.46413988,108.1755322,6.117018415,2097,Croatia,Total density per million population: Radiotherapy units,Europe,2013,3.03,4024868.0,1938516.0,2086351.9999999998,15460.3669595491
Lung,Female,Incidence,2015,17.98207822,39.74982767,2.224808236,869,Croatia,Total density per million population: Radiotherapy units,Europe,2010,2.95,4183729.0000000005,2014755.0,2168973.0,12283.7840620053
Lung,Female,Mortality,2015,13.90193708,33.19543397,1.693635477,720,Croatia,Total density per million population: Radiotherapy units,Europe,2010,2.95,4183729.0000000005,2014755.0,2168973.0,12283.7840620053
Lung,Female,Mortality,2018,16.53307377,41.22027347,2.209586157,860,Croatia,Total density per million population: Radiotherapy units,Europe,2013,3.03,4024868.0,1938516.0,2086351.9999999998,15460.3669595491
Lung,Male,Mortality,2015,35.80160241,63.26807402,4.262521581,3539,Cuba,Total density per million population: Radiotherapy units,Americas,2010,1.15,11275065.0,5593658.0,5681406.0,7727.91997207998
Lung,Male,Mortality,2018,33.86855874,63.57483681,4.127042881,3536,Cuba,Total density per million population: Radiotherapy units,Americas,2013,1.15,11227118.0,5561949.0,5665168.0,8911.46205998726
Lung,Female,Mortality,2015,18.19898113,34.9209333,2.219774695,1984,Cuba,Total density per million population: Radiotherapy units,Americas,2010,1.15,11275065.0,5593658.0,5681406.0,7727.91997207998
Lung,Female,Mortality,2018,17.90437924,36.83915139,2.253365574,2087,Cuba,Total density per million population: Radiotherapy units,Americas,2013,1.15,11227118.0,5561949.0,5665168.0,8911.46205998726
Lung,Male,Incidence,2015,34.65012923,62.44633518,4.481768035,256,Cyprus,Total density per million population: Radiotherapy units,Europe,2010,2.72,1219502.0,616000.0,603502.0,23088.44140625
Lung,Male,Mortality,2015,24.62907416,44.63937241,2.984966931,183,Cyprus,Total density per million population: Radiotherapy units,Europe,2010,2.72,1219502.0,616000.0,603502.0,23088.44140625
Lung,Male,Mortality,2018,25.12565198,48.38359072,3.09558474,207,Cyprus,Total density per million population: Radiotherapy units,Europe,2013,2.63,1270737.0,641146.0,629591.0,29120.375
Lung,Male,Mortality,2022,23.67014002,53.42522472,2.65247864,240,Cyprus,Total density per million population: Radiotherapy units,Europe,2017,8.29,1331370.0,670824.0,660545.0,33231.04296875
Lung,Female,Incidence,2015,10.65709168,19.6230074,1.361453271,85,Cyprus,Total density per million population: Radiotherapy units,Europe,2010,2.72,1219502.0,616000.0,603502.0,23088.44140625
Lung,Female,Mortality,2015,6.396055084,12.23552226,0.7540084279,53,Cyprus,Total density per million population: Radiotherapy units,Europe,2010,2.72,1219502.0,616000.0,603502.0,23088.44140625
Lung,Female,Mortality,2018,7.010163653,13.83718543,0.81450019,62,Cyprus,Total density per million population: Radiotherapy units,Europe,2013,2.63,1270737.0,641146.0,629591.0,29120.375
Lung,Female,Mortality,2022,8.646329193,16.54382523,1.039276137,78,Cyprus,Total density per million population: Radiotherapy units,Europe,2017,8.29,1331370.0,670824.0,660545.0,33231.04296875
Lung,Male,Incidence,2015,42.89603477,84.08873562,5.617631948,4356,Czechia,Total density per million population: Radiotherapy units,Europe,2010,4.96,10524416.0,5176537.0,5347880.0,17931.5987670768
